element	element-content-type	element-content	attribute	attribute-content
langUsage	elements	|language||language|	default	false
language	text	English	ident	en
language	text	Greek	ident	grc
language	text	English	ident	en
language	text	Greek	ident	grc
textClass	elements	|keywords|	default	false
keywords	elements	|term||term||term||term||term|	scheme	#apis
term	text	Papyri	type	genre_form
term	text	List of provisions	type	genre_form
term	text	Wine	type	genre_form
term	text	Oil	type	genre_form
term	text	Measures	type	genre_form
keywords	elements	|term||term||term||term||term|	scheme	#apis
term	text	Papyri	type	genre_form
term	text	List of provisions	type	genre_form
term	text	Wine	type	genre_form
term	text	Oil	type	genre_form
term	text	Measures	type	genre_form
term	text	Papyri	type	genre_form
term	text	List of provisions	type	genre_form
term	text	Wine	type	genre_form
term	text	Oil	type	genre_form
term	text	Measures	type	genre_form
text	elements	|body|		
body	elements	|div||div|		
div	elements	|ab|	type	translation
div	elements	|ab|	org	uniform
div	elements	|ab|	sample	complete
div	elements	|ab|	part	N
ab	text	FREE TEXT	part	N
div	elements	|listBibl|	type	bibliography
div	elements	|listBibl|	subtype	citations
div	elements	|listBibl|	org	uniform
div	elements	|listBibl|	sample	complete
div	elements	|listBibl|	part	N
listBibl	elements	|bibl|	default	false
bibl	mixed	P. Got. 17 Kruit, N., Worp, K. A., P.Got. 17 re-edited, Eranos 101, 2, 2003, p. 114-119<<note>>	default	false
note	text	FREE TEXT	anchored	true
body	elements	|div||div|		
div	elements	|ab|	type	translation
div	elements	|ab|	org	uniform
div	elements	|ab|	sample	complete
div	elements	|ab|	part	N
ab	text	FREE TEXT	part	N
div	elements	|listBibl|	type	bibliography
div	elements	|listBibl|	subtype	citations
div	elements	|listBibl|	org	uniform
div	elements	|listBibl|	sample	complete
div	elements	|listBibl|	part	N
listBibl	elements	|bibl|	default	false
bibl	mixed	P. Got. 17 Kruit, N., Worp, K. A., P.Got. 17 re-edited, Eranos 101, 2, 2003, p. 114-119<<note>>	default	false
note	text	FREE TEXT	anchored	true
div	elements	|ab|	type	translation
div	elements	|ab|	org	uniform
div	elements	|ab|	sample	complete
div	elements	|ab|	part	N
ab	text	FREE TEXT	part	N
ab	text	FREE TEXT	part	N
div	elements	|listBibl|	type	bibliography
div	elements	|listBibl|	subtype	citations
div	elements	|listBibl|	org	uniform
div	elements	|listBibl|	sample	complete
div	elements	|listBibl|	part	N
listBibl	elements	|bibl|	default	false
bibl	mixed	P. Got. 17 Kruit, N., Worp, K. A., P.Got. 17 re-edited, Eranos 101, 2, 2003, p. 114-119<<note>>	default	false
note	text	FREE TEXT	anchored	true
listBibl	elements	|bibl|	default	false
bibl	mixed	P. Got. 17 Kruit, N., Worp, K. A., P.Got. 17 re-edited, Eranos 101, 2, 2003, p. 114-119<<note>>	default	false
note	text	FREE TEXT	anchored	true
bibl	mixed	P. Got. 17 Kruit, N., Worp, K. A., P.Got. 17 re-edited, Eranos 101, 2, 2003, p. 114-119<<note>>	default	false
note	text	FREE TEXT	anchored	true
note	text	FREE TEXT	anchored	true
TEI	elements	|teiHeader||text|		
teiHeader	elements	|encodingDesc||fileDesc||profileDesc|	type	text
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	(Copy of) petition from priests asking the exemption from personally executing the work at the dikes		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
idno	text	lund.apis.26	type	apisid
idno	text	(SeUB)26	type	controlNo
idno	text	p.bacch.21	type	ddbdp
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Lund. inv. 19	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	FREE TEXT		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	Source of description: Recto; Verso blank	type	general
note	text	Source of description: Recto; Verso blank	anchored	true
note	text	23 lines written with the fibres	type	general
note	text	23 lines written with the fibres	anchored	true
note	text	Location: Lund University Library	type	general
note	text	Location: Lund University Library	anchored	true
note	text	Part of the same document as P. Yale 348	type	general
note	text	Part of the same document as P. Yale 348	anchored	true
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	type	general
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	anchored	true
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	type	general
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 16 x 13 cm (13.6 x 16.1 cm)		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	7th August, 178 A. D. or later	notBefore	0178
origDate	text	7th August, 178 A. D. or later	notAfter	0199
origDate	text	7th August, 178 A. D. or later	instant	false
origPlace	text	Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt	instant	false
provenance	elements	|p|		
p	text	FREE TEXT		
encodingDesc	elements	|classDecl|		
classDecl	elements	|taxonomy|		
taxonomy	elements	|desc|	id	apis
desc	text	APIS keywords are controlled locally at the institution level. They are not necessarily consistent.		
profileDesc	elements	|langUsage||textClass|		
langUsage	elements	|language||language|	default	false
language	text	English	ident	en
language	text	Greek	ident	grc
textClass	elements	|keywords|	default	false
keywords	elements	|term||term||term||term||term|	scheme	#apis
term	text	Papyri	type	genre_form
term	text	Petition	type	genre_form
term	text	Temple	type	genre_form
term	text	Labour	type	genre_form
term	text	Dikes	type	genre_form
text	elements	|body|		
body	elements	|div||div|		
div	elements	|ab|	type	translation
div	elements	|ab|	org	uniform
div	elements	|ab|	sample	complete
div	elements	|ab|	part	N
ab	text	FREE TEXT	part	N
div	elements	|listBibl|	type	bibliography
div	elements	|listBibl|	subtype	citations
div	elements	|listBibl|	org	uniform
div	elements	|listBibl|	sample	complete
div	elements	|listBibl|	part	N
listBibl	elements	|bibl||bibl|	default	false
bibl	mixed	FREE TEXT<<note>>	default	false
note	text	FREE TEXT	anchored	true
bibl	text	P.Bacch.:21	type	ddbdp
bibl	text	P.Bacch.:21	default	false
teiHeader	elements	|encodingDesc||fileDesc||profileDesc|	type	text
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	(Copy of) petition from priests asking the exemption from personally executing the work at the dikes		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
idno	text	lund.apis.26	type	apisid
idno	text	(SeUB)26	type	controlNo
idno	text	p.bacch.21	type	ddbdp
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Lund. inv. 19	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	FREE TEXT		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	Source of description: Recto; Verso blank	type	general
note	text	Source of description: Recto; Verso blank	anchored	true
note	text	23 lines written with the fibres	type	general
note	text	23 lines written with the fibres	anchored	true
note	text	Location: Lund University Library	type	general
note	text	Location: Lund University Library	anchored	true
note	text	Part of the same document as P. Yale 348	type	general
note	text	Part of the same document as P. Yale 348	anchored	true
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	type	general
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	anchored	true
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	type	general
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 16 x 13 cm (13.6 x 16.1 cm)		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	7th August, 178 A. D. or later	notBefore	0178
origDate	text	7th August, 178 A. D. or later	notAfter	0199
origDate	text	7th August, 178 A. D. or later	instant	false
origPlace	text	Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt	instant	false
provenance	elements	|p|		
p	text	FREE TEXT		
encodingDesc	elements	|classDecl|		
classDecl	elements	|taxonomy|		
taxonomy	elements	|desc|	id	apis
desc	text	APIS keywords are controlled locally at the institution level. They are not necessarily consistent.		
profileDesc	elements	|langUsage||textClass|		
langUsage	elements	|language||language|	default	false
language	text	English	ident	en
language	text	Greek	ident	grc
textClass	elements	|keywords|	default	false
keywords	elements	|term||term||term||term||term|	scheme	#apis
term	text	Papyri	type	genre_form
term	text	Petition	type	genre_form
term	text	Temple	type	genre_form
term	text	Labour	type	genre_form
term	text	Dikes	type	genre_form
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	(Copy of) petition from priests asking the exemption from personally executing the work at the dikes		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
idno	text	lund.apis.26	type	apisid
idno	text	(SeUB)26	type	controlNo
idno	text	p.bacch.21	type	ddbdp
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Lund. inv. 19	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	FREE TEXT		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	Source of description: Recto; Verso blank	type	general
note	text	Source of description: Recto; Verso blank	anchored	true
note	text	23 lines written with the fibres	type	general
note	text	23 lines written with the fibres	anchored	true
note	text	Location: Lund University Library	type	general
note	text	Location: Lund University Library	anchored	true
note	text	Part of the same document as P. Yale 348	type	general
note	text	Part of the same document as P. Yale 348	anchored	true
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	type	general
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	anchored	true
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	type	general
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 16 x 13 cm (13.6 x 16.1 cm)		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	7th August, 178 A. D. or later	notBefore	0178
origDate	text	7th August, 178 A. D. or later	notAfter	0199
origDate	text	7th August, 178 A. D. or later	instant	false
origPlace	text	Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt	instant	false
provenance	elements	|p|		
p	text	FREE TEXT		
titleStmt	elements	|title|		
title	text	(Copy of) petition from priests asking the exemption from personally executing the work at the dikes		
title	text	(Copy of) petition from priests asking the exemption from personally executing the work at the dikes		
publicationStmt	elements	|authority||idno||idno||idno|		
authority	text	APIS		
idno	text	lund.apis.26	type	apisid
idno	text	(SeUB)26	type	controlNo
idno	text	p.bacch.21	type	ddbdp
authority	text	APIS		
idno	text	lund.apis.26	type	apisid
idno	text	(SeUB)26	type	controlNo
idno	text	p.bacch.21	type	ddbdp
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Lund. inv. 19	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	FREE TEXT		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	Source of description: Recto; Verso blank	type	general
note	text	Source of description: Recto; Verso blank	anchored	true
note	text	23 lines written with the fibres	type	general
note	text	23 lines written with the fibres	anchored	true
note	text	Location: Lund University Library	type	general
note	text	Location: Lund University Library	anchored	true
note	text	Part of the same document as P. Yale 348	type	general
note	text	Part of the same document as P. Yale 348	anchored	true
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	type	general
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	anchored	true
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	type	general
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 16 x 13 cm (13.6 x 16.1 cm)		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	7th August, 178 A. D. or later	notBefore	0178
origDate	text	7th August, 178 A. D. or later	notAfter	0199
origDate	text	7th August, 178 A. D. or later	instant	false
origPlace	text	Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt	instant	false
provenance	elements	|p|		
p	text	FREE TEXT		
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Lund. inv. 19	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	FREE TEXT		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	Source of description: Recto; Verso blank	type	general
note	text	Source of description: Recto; Verso blank	anchored	true
note	text	23 lines written with the fibres	type	general
note	text	23 lines written with the fibres	anchored	true
note	text	Location: Lund University Library	type	general
note	text	Location: Lund University Library	anchored	true
note	text	Part of the same document as P. Yale 348	type	general
note	text	Part of the same document as P. Yale 348	anchored	true
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	type	general
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	anchored	true
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	type	general
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 16 x 13 cm (13.6 x 16.1 cm)		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace|	instant	false
origDate	text	7th August, 178 A. D. or later	notBefore	0178
origDate	text	7th August, 178 A. D. or later	notAfter	0199
origDate	text	7th August, 178 A. D. or later	instant	false
origPlace	text	Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt	instant	false
provenance	elements	|p|		
p	text	FREE TEXT		
msIdentifier	elements	|idno|		
idno	text	P. Lund. inv. 19	type	invNo
idno	text	P. Lund. inv. 19	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	FREE TEXT		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	Source of description: Recto; Verso blank	type	general
note	text	Source of description: Recto; Verso blank	anchored	true
note	text	23 lines written with the fibres	type	general
note	text	23 lines written with the fibres	anchored	true
note	text	Location: Lund University Library	type	general
note	text	Location: Lund University Library	anchored	true
note	text	Part of the same document as P. Yale 348	type	general
note	text	Part of the same document as P. Yale 348	anchored	true
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	type	general
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	anchored	true
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	type	general
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	anchored	true
textLang	text	Greek	mainLang	grc
summary	text	FREE TEXT		
msItemStruct	elements	|note||note||note||note||note||note||textLang|	defective	false
note	text	Source of description: Recto; Verso blank	type	general
note	text	Source of description: Recto; Verso blank	anchored	true
note	text	23 lines written with the fibres	type	general
note	text	23 lines written with the fibres	anchored	true
note	text	Location: Lund University Library	type	general
note	text	Location: Lund University Library	anchored	true
note	text	Part of the same document as P. Yale 348	type	general
note	text	Part of the same document as P. Yale 348	anchored	true
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	type	general
note	text	Mentions Flavius Apollonios (strategos), Apollonios (basilikos grammateus) and Ulpius Serenianus (archiereus)	anchored	true
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	type	general
note	text	Related to P. Fouad 186-189 (ed. A. Bataille, Un nouveau dieu � Bacchias, �tudes de papyrologie, 4, 1938, p. 197-205)	anchored	true
textLang	text	Greek	mainLang	grc
note	text	Source of description: Recto; Verso blank	type	general
